Data de envio;Tipo de pessoa;Estado;Município;Local de Armazenamento;Camarão Rosa (Kg);Camarão Sete Barbas (Kg);Camarão Branco (Kg);Camarão Santana ou Vermelho (Kg);Camarão Barba-ruça (Kg);Apresentação do produto;Tipo de embalagem
05/12/2022;Física;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 366;50;400;0;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Serra;Rua Jose De Marco, S/N;500;2000;0;400;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Colatina;Jose Ferdinando Chiste, 93;71;80;0;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Serra;Rua Lourival Pimentel, S/N;30;100;0;30;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Conceição da Barra;Av. Linha Verde, 310;0;1000;0;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Serra;Rua Romulo Castelo, 19;70;300;0;70;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Conceição da Barra;Av. Linha Verde, 310;150;1500;300;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Serra;Rua Wilson Cesar Nascimento, 737;150;400;0;150;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Serra;Rua Wilson Cesar Nascimento, 737;300;800;0;250;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Serra;Rua Lourival Pimentel, S/N;500;1000;0;0;0;Resfriado;Outro
05/12/2022;Jurídica;Espírito Santo;Aracruz;Rua Jose Coutinho Rocha, S/N;100;400;0;100;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Aracruz;Rua Jose Coutinho Da Rocha, Box 07;30;300;0;0;0;Resfriado;Outro
05/12/2022;Física;Espírito Santo;Aracruz;Rua Jose Coutinho Da Rocha, Box 07;90;650;0;0;0;Resfriado;Outro
05/12/2022;Jurídica;Espírito Santo;Aracruz;Rua Capitao Barroso, 41;150;500;0;100;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Serra;Rua Pitanga, S/N;100;600;0;50;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Colatina;Av. Presidente Kennedy, N° 975;264;1706;0;252;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Estudante José Júlio De Souza, Nº 290;100;0;0;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Itapemirim;Avenida Itapemirim Itaoca Praia 02;50;400;50;60;100;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;São Mateus;Rua Jones Dos Santos Neves, S/N;120;800;50;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Cariacica;Rua Juscelino Kubitschek Vista Mar Cariacica;50;250;50;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Estudante José Júlio De Souza, N 290;2000;2000;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Conceição da Barra;Rua 25 De Novembro, S/N;200;8200;100;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Conceição da Barra;Rua 25 De Novembro, S/N;400;13000;800;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Serra;Rua Lourival Pimentel, S/N;60;400;0;60;0;Resfriado;Outro
06/12/2022;Jurídica;Espírito Santo;Serra;R. Mario De Vargas Coutinho, Nº 725;98;48;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Rua Do Contorno, Nº 251;9490;7000;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Av. Oceano Atlantico, 1400;0;200;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Coronel Luis Soares - Sn;0;40;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Projetada - Sn;0;785;38;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Rua Do Contorno, Nº 235;0;1460;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Do Jamelão - Sn;0;200;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Av Simão Soares - 156;60;100;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Av Vale Do Rio Doce, Nº 1330;12,8;28,1;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Piúma;Adalberto Taylor, 552;100;1200;60;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Itapemirim;Av Itapemirim - 3004;300;900;0;0;0;Congelado;Isopor
06/12/2022;Física;Espírito Santo;Piúma;Augusto Da Costa Oliveira S/N;50;700;50;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Das Flores - 39;0;40;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Das Flores - 39;20;0;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Estudante José Julio De Souza, Nº 310;400;2500;150;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Av Mário Gurgel (Br 262), Nº 5471;0;0;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Av Mário Gurgel (Br 262), Nº 5471;40,6;32;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Piúma;Rua Jair Cardoso Novaes 360;50;800;50;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Cariacica;Av. Espírito Santo, 119;12,8;19;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Av Jose Maria Vivacqua Santos, Nº 520;32,8;39,1;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Linhares;Av Principal De Barra Seca;0;300;200;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Do Comercio, 26;23,2;24,9;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Es 010 S/N Barraca Seca;100;4000;100;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Linhares;Av Principal De Barra Seca;0;300;200;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av. Abido Saadi, 263;22,4;28,9;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Linhares;Av. Principal De Barra Seca, Sn;0;2000;100;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av. Central, 873;4.8;17;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Linhares;Av Jorge Amado S/N;60;400;50;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Dos Cravos, 102;5,2;28,5;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Guarapari;Rua Olivio Antonio Novaes, 340;240;4500;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av. Goiania, S/N Qd. 01;3,2;21,7;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Eugenio Jose Xavier, S/N;200;150;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Guarapari;Rua Olivio Antonio Novaes, 340;20;60;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Colatina;Av. Getulio Vargas, 517;10;11,5;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av. Cassiano Castelo, Nº 82;13,2;26,9;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Fortaleza, Nº 476;30,4;74,3;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Nova Venécia;Av Sao Mateus Nº 324;0;8700;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Oscar Paulo Da Silva 71;1400;3000;100;100;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Av Simão Soares - N 18;0;300;60;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Projetada - Sn;0;100;60;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Pedro Coimbra - N 643;0;939;278;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Rod Br 381, Miguel Curry Carneiro, Sn;0;4800;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Rua Inacio Fundao, 95;580;1180;60;480;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Fundão;Av Linhares N 1040;300;1000;300;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Pavão;Rua Aurora Nº 106;0;21609;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;São Mateus;Rua Florianopolies 308;50;100;50;0;0;In Natura;Plástica
06/12/2022;Jurídica;Espírito Santo;São Gabriel da Palha;Av. Presidente Castelo Branco Nº 10;0;8822;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;´Rua Oscar Paulo Da Silva 71;1300;3000;100;100;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Marataízes;Rua Coronel Luiz Soares - Sn;0;200;160;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Barra de São Francisco;Rua Vereador Tito Waldemar Vieira Nº 1191;0;5808;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Rua Monsenhor Guilherme Schimitz Nº 431;0;13464;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Nova Venécia;Av. Guanabara Nº 142;0;21050;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Oscar Paulo Da Silva, 396;750;1500;0;0;0;In Natura;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Carlos Lindenberg, 1955;10,8;35,7;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Av. Jones Dos Santos Neves, 504;13,6;17,4;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Padre Antonio Ribeiro Pinto, 156;36,2;37;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Fundão;Av Linhares 1040;300;1000;300;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Pedro Nolasco, 150;4,8;21,1;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Av. Fernando Ferrari, 2635;31,2;23,7;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Avenida Simão Soares;150;80;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Guarapari;R. José De Alcântara Bourguignon, 90;18,4;26,4;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Marataízes;Rua Carla De Souza Lemos - N 161;0;900;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Praça Fernanda Jesus Soares 100;200;250;0;0;0;Congelado;Isopor
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Daniel Abreu Machado, Nº 151;6,4;24,8;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Conceição da Barra;Rua 17 De Abril, S/N;200;1;300;100;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Marataízes;Avenida Simão Soares - N 15;0;600;275;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;R Licinio Dos Santos Conte, Nº 51;37,7;21,6;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Avenida Simão Soares - Sn;0;100;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Rodovia Do Sol, Nº 5000;19,6;29,7;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Marataízes;Rua Jose Martins - Sn;0;247;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;R Dr Antonio Basílio, Nº 534;36,8;8,8;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Conceição da Barra;Rua 17 De Abril, S/N;300;1000;300;100;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Mário Batalha 220;1996;7020;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Av Jones Dos Santos Neves - 154;0;200;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;São Mateus;Rod Br 101, 2063;6,4;31;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Rua Rodolfo Valdetário, 192;1090;1900;0;0;0;Congelado;Sacola Plastica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Projetada - Sn;0;300;60;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Avenida Brasil, S/N, São Diogo Ii;2,8;24,1;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Antônio Ferreira De Queirox, 160;750;1300;200;450;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Colatina;Avenida Silvio Avidos, Nº 777;7,2;12,1;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Avenida Porto Canoa, Nº 132;13,2;30;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Marataízes;Av Jones Dos Santos Neves - N 154;0;200;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av. Antônio Ferreira De Queiroz, 160;550;1100;180;380;150;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rod Serafim Derenzi, Nº 995;0;0;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Sebastiao De Almeida - N 02;60;750;120;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Avenida Eldes Scherrer Souza, S/N;25,9;18,6;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Serra;Travessa Lourival Ribeiro Pimentel, S/N;100;200;150;0;100;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Almirante Tamandare 42;80;200;80;80;0;Resfriado;Isopor
06/12/2022;Física;Espírito Santo;Cariacica;Rua Parana 120 Valparaiso;70;450;60;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Marataízes;Rua Projetada - Sn;0;80;10;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Sao Sebastiao N 115;0;500;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Felicidade Correia Dos Santos N° 1170;100;600;100;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Guarapari;Avenida Governador Jones Dos Santos Neves, Nº 3240;5,6;36,1;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;R. Professor Sarmento, 90;500;1000;100;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Cariacica;Rua Darcy Veronica 119;0;450;0;0;0;Congelado;Isopor
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Oscar Paulo Da Silva 71;1300;3000;100;100;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Almirante Tamandare 42;200;200;100;90;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Viana;Rod Governador Mario Covas, Nº S/N;10;25,9;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Almirante Tamandare, 18;950;1070;280;700;150;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Valdir Meirelles 415;120;400;80;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Conceição da Barra;Avenida Linha Verde S/N;1622;726;20;182;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Com. Octavio Queiroz ,477;460;1545;85;120;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Serra;Rua Dos Eucalipitos 199;0;400;0;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Alfredo Galeno, Nº 3225;7,6;30,2;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Avenida Antonio De Queiroz, S/N;182;565,5;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Cariacica;Av Gerson Camata 41;85;600;60;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Serra;Avenida Brauna, Nº 1168;23,2;14,4;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Cariacica;Rua Uniao Liberdade 26;130;750;0;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Serra;Avenida Minas Gerais, Nº 1284;19,2;37;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Cariacica;Rua Darcy Veronica 129;0;500;0;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Guarapari;Avenida Davino Mattos, Nº 139;17,2;12,2;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Cariacica;Rua Bela Vista Ii 36;0;600;0;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Guarapari;Avenida Beira Mar, Nº 1932;20,8;25,6;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Santa Rita 710;150;450;0;0;0;Resfriado;Isopor
06/12/2022;Jurídica;Espírito Santo;Guarapari;Rua Getulio Vargas, Nº 175;9,6;6;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Guarapari;Rua Joaquim Da Silva Lima, Nº 455;23,1;14,4;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Guarapari;Praça Antonio Jorge Assef, Nº 382;21,2;10,1;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Mario De Vargas Coutinho, Nº 725;0;0;0;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Conceição da Barra;Rua Vinte E Sete De Setembro, Nº 25;120;1600;360;0;0;Congelado;Plástica
06/12/2022;Física;Espírito Santo;Vitória;Rua Pio Xii, 46;30;400;0;0;0;In Natura;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;R Mario De Vargas Coutinho, Nº 725;0;0;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av Alpheu Ribeiro, Nº 550;9,2;19;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Almirante Barrosos 517;550;650;0;250;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rod Es-010, Km 4,5, Letra;13,2;21,8;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Av Adolpho Cassoli N 182;9718;7000;1618;0;0;Congelado;Outro
06/12/2022;Jurídica;Espírito Santo;Vitória;Av Adolpho Cassoli N 182;9718;0;0;0;0;Congelado;Outro
06/12/2022;Jurídica;Espírito Santo;Serra;Rod Gov. Mário Covas (Br 101), Nº 1990;16;16,7;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Av Henrique Moscoso 345;200;1500;0;200;300;Congelado;Outro
06/12/2022;Jurídica;Espírito Santo;Cariacica;Av Mário Gurgel (Br 262), Nº 5471;0;0;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Rua Almirante Barrosos 517;450;450;0;200;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;Av Victorino Cardoso, 250;100;300;0;100;0;Congelado;Outro
06/12/2022;Física;Espírito Santo;Cariacica;Rua Lourival De Almeida Flexal 1;0;300;0;0;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Av. Abido Saadi 3087;450;450;0;200;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Serra;Rua Caramuru 1741;2000;800;500;800;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vitória;R Alcino Pereira Netto, 570;4450;3250;0;3600;0;Congelado;Plástica
06/12/2022;Jurídica;Espírito Santo;Vila Velha;Rod Do Sol, Nº 5000;5950;4250;0;3400;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Vitória;Av Nossa Senhora Dos Navegantes, 205;150;350;100;150;0;Congelado;Outro
07/12/2022;Jurídica;Espírito Santo;Colatina;Rua Antonio Engracio 139;80;250;60;0;0;Congelado;Plástica
07/12/2022;Jurídica;Espírito Santo;Vitória;Rua Sao Sebastiao, 115;0;1000;0;0;0;Congelado;Plástica
07/12/2022;Jurídica;Espírito Santo;Vitória;Rua Sao Sebastiao, 115;300;0;0;0;0;Congelado;Plástica
07/12/2022;Jurídica;Espírito Santo;Vitória;Rua Sao Sebastiao, 115;0;0;50;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcelos De Mattos;550;700;100;200;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Serra;Rua Romulo Castelo 19;140;0;0;40;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Cariacica;Rua Juscelino Kubitschek Vista Mar Cariacica;50;500;50;0;0;Resfriado;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;50;160;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Conceição da Barra;Av. Atlantica, N° 262;100;200;0;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;280;460;60;90;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;360;420;70;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Nova Venécia;Avenida São Mateus - Nº 379;0;0;0;0;0;Congelado;Plástica
07/12/2022;Jurídica;Espírito Santo;Serra;Avenida Engenheiro Ceciliano Abel De Almeida, 03;210;320;0;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;500;1200;300;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Cachoeiro de Itapemirim;Rua Pedro Estelita Herkenhoff, N° 93;30;300;30;30;30;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Vitória;Av Nossa Senhora Dos Navegantes, 205;250;250;200;150;0;Congelado;Outro
07/12/2022;Física;Espírito Santo;Vitória;Travessa Manoel Messias Das Neves, 22;60;400;20;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Nova Venécia;Av. São Mateus - Nº 379;0;3850;0;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Vitória;Rua Almirante Barrosos, 18;250;200;200;150;0;Congelado;Outro
07/12/2022;Jurídica;Espírito Santo;Serra;Avenida Engenheiro Ceciliano Abel De Almeida, 03;40;0;0;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Mariana Eleza;70;300;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Av. Aniz Homaidan;0;900;0;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Guarapari;Rodovia Do Sol, Nº 2404;0;1000;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;300;500;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Avenida Beira Mar;30;250;0;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Guarapari;Rua Joaquim Nascimento, Meaípe;300;700;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;300;300;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Vitória;Travessa Manoel Messias Das Neves, 20;60;300;20;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Guarapari;Rua Uma;70;200;0;0;0;In Natura;Isopor
07/12/2022;Jurídica;Espírito Santo;Guarapari;Rua Da Enseada Nº96;3500;3000;0;1500;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;210;460;40;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Avenida Viana, Bairro Uma;500;500;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Marataízes;Rua Pedro Coimbra Garcia - N 433;0;230;30;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;200;300;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Av. Manoel Rodrigues Pinheiro, Uma N° 35;100;500;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Guarapari;Rua Jose Barcellos De Mattos;50;350;0;0;0;In Natura;Isopor
07/12/2022;Física;Espírito Santo;Marataízes;Rua Cancelas, 10, Nossa Senhora Aparecida;0;300;0;0;0;Congelado;Plástica
07/12/2022;Física;Espírito Santo;Anchieta;Rua José Sabino De Mello 288;0;300;0;0;0;Congelado;Plástica
