Data de envio,Tipo de pessoa,Estado,Município,Local de Armazenamento,Camarão Rosa (Kg),Camarão Sete Barbas (Kg),Camarão Branco (Kg),Camarão Santana ou Vermelho (Kg),Camarão Barba-ruça (Kg),Apresentação do produto,Tipo de embalagem
2022-12-05,Jurídica,Espírito Santo,Aracruz,"Rua Jose Coutinho Rocha, S/N",100.0,400.0,0.0,100.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Aracruz,"Rua Jose Coutinho Da Rocha, Box 07",30.0,300.0,0.0,0.0,0.0,Resfriado,Outro
2022-12-05,Física,Espírito Santo,Aracruz,"Rua Jose Coutinho Da Rocha, Box 07",90.0,650.0,0.0,0.0,0.0,Resfriado,Outro
2022-12-05,Jurídica,Espírito Santo,Aracruz,"Rua Capitao Barroso, 41",150.0,500.0,0.0,100.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Serra,"Rua Pitanga, S/N",100.0,600.0,0.0,50.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Colatina,"Av. Presidente Kennedy, N° 975",264.0,1706.0,0.0,252.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Vila Velha,"Av. Estudante José Júlio De Souza, Nº 290",100.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Itapemirim,Avenida Itapemirim Itaoca Praia 02,50.0,400.0,50.0,60.0,100.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,São Mateus,"Rua Jones Dos Santos Neves, S/N",120.0,800.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Cariacica,Rua Juscelino Kubitschek Vista Mar Cariacica,50.0,250.0,50.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Estudante José Júlio De Souza, N 290",2000.0,2000.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Conceição da Barra,"Rua 25 De Novembro, S/N",200.0,8200.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Conceição da Barra,"Rua 25 De Novembro, S/N",400.0,13000.0,800.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Serra,"Rua Lourival Pimentel, S/N",60.0,400.0,0.0,60.0,0.0,Resfriado,Outro
2022-12-06,Jurídica,Espírito Santo,Serra,"R. Mario De Vargas Coutinho, Nº 725",98.0,48.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Rua Do Contorno, Nº 251",9490.0,7000.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,"Av. Oceano Atlantico, 1400",0.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Coronel Luis Soares - Sn,0.0,40.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Projetada - Sn,0.0,785.0,38.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Rua Do Contorno, Nº 235",0.0,1460.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Do Jamelão - Sn,0.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Av Simão Soares - 156,60.0,100.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Av Vale Do Rio Doce, Nº 1330",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Piúma,"Adalberto Taylor, 552",100.0,1200.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Itapemirim,Av Itapemirim - 3004,300.0,900.0,0.0,0.0,0.0,Congelado,Isopor
2022-12-06,Física,Espírito Santo,Piúma,Augusto Da Costa Oliveira S/N,50.0,700.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Das Flores - 39,0.0,40.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Das Flores - 39,20.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Estudante José Julio De Souza, Nº 310",400.0,2500.0,150.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Av Mário Gurgel (Br 262), Nº 5471",0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Av Mário Gurgel (Br 262), Nº 5471",,32.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Piúma,Rua Jair Cardoso Novaes 360,50.0,800.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Av. Espírito Santo, 119",,19.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Av Jose Maria Vivacqua Santos, Nº 520",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Linhares,Av Principal De Barra Seca,0.0,300.0,200.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Rua Do Comercio, 26",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,Es 010 S/N Barraca Seca,100.0,4000.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Linhares,Av Principal De Barra Seca,0.0,300.0,200.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Av. Abido Saadi, 263",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Linhares,"Av. Principal De Barra Seca, Sn",0.0,2000.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Av. Central, 873",4.8,17.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Linhares,Av Jorge Amado S/N,60.0,400.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Rua Dos Cravos, 102",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Guarapari,"Rua Olivio Antonio Novaes, 340",240.0,4500.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Av. Goiania, S/N Qd. 01",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,"Rua Eugenio Jose Xavier, S/N",200.0,150.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Guarapari,"Rua Olivio Antonio Novaes, 340",20.0,60.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Colatina,"Av. Getulio Vargas, 517",10.0,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Av. Cassiano Castelo, Nº 82",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Fortaleza, Nº 476",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Nova Venécia,Av Sao Mateus Nº 324,0.0,8700.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,Rua Oscar Paulo Da Silva 71,1400.0,3000.0,100.0,100.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Av Simão Soares - N 18,0.0,300.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Projetada - Sn,0.0,100.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Pedro Coimbra - N 643,0.0,939.0,278.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,"Rod Br 381, Miguel Curry Carneiro, Sn",0.0,4800.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,"Rua Inacio Fundao, 95",580.0,1180.0,60.0,480.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Fundão,Av Linhares N 1040,300.0,1000.0,300.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Pavão,Rua Aurora Nº 106,0.0,21609.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,São Mateus,Rua Florianopolies 308,50.0,100.0,50.0,0.0,0.0,In Natura,Plástica
2022-12-06,Jurídica,Espírito Santo,São Gabriel da Palha,Av. Presidente Castelo Branco Nº 10,0.0,8822.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,´Rua Oscar Paulo Da Silva 71,1300.0,3000.0,100.0,100.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Marataízes,Rua Coronel Luiz Soares - Sn,0.0,200.0,160.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Barra de São Francisco,Rua Vereador Tito Waldemar Vieira Nº 1191,0.0,5808.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,Rua Monsenhor Guilherme Schimitz Nº 431,0.0,13464.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Nova Venécia,Av. Guanabara Nº 142,0.0,21050.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Oscar Paulo Da Silva, 396",750.0,1500.0,0.0,0.0,0.0,In Natura,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Carlos Lindenberg, 1955",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,"Av. Jones Dos Santos Neves, 504",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Padre Antonio Ribeiro Pinto, 156",,37.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Fundão,Av Linhares 1040,300.0,1000.0,300.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Pedro Nolasco, 150",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Av. Fernando Ferrari, 2635",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Avenida Simão Soares,150.0,80.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Guarapari,"R. José De Alcântara Bourguignon, 90",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Marataízes,Rua Carla De Souza Lemos - N 161,0.0,900.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,Praça Fernanda Jesus Soares 100,200.0,250.0,0.0,0.0,0.0,Congelado,Isopor
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Daniel Abreu Machado, Nº 151",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Conceição da Barra,"Rua 17 De Abril, S/N",200.0,1.0,300.0,100.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Marataízes,Avenida Simão Soares - N 15,0.0,600.0,275.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"R Licinio Dos Santos Conte, Nº 51",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Avenida Simão Soares - Sn,0.0,100.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Rodovia Do Sol, Nº 5000",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Marataízes,Rua Jose Martins - Sn,0.0,247.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"R Dr Antonio Basílio, Nº 534",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Conceição da Barra,"Rua 17 De Abril, S/N",300.0,1000.0,300.0,100.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,Rua Mário Batalha 220,1996.0,7020.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Av Jones Dos Santos Neves - 154,0.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,São Mateus,"Rod Br 101, 2063",,31.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Rua Rodolfo Valdetário, 192",1090.0,1900.0,0.0,0.0,0.0,Congelado,Sacola Plastica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Projetada - Sn,0.0,300.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Avenida Brasil, S/N, São Diogo Ii",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Antônio Ferreira De Queirox, 160",750.0,1300.0,200.0,450.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Colatina,"Avenida Silvio Avidos, Nº 777",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Avenida Porto Canoa, Nº 132",,30.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Marataízes,Av Jones Dos Santos Neves - N 154,0.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Av. Antônio Ferreira De Queiroz, 160",550.0,1100.0,180.0,380.0,150.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rod Serafim Derenzi, Nº 995",0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Sebastiao De Almeida - N 02,60.0,750.0,120.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Avenida Eldes Scherrer Souza, S/N",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Serra,"Travessa Lourival Ribeiro Pimentel, S/N",100.0,200.0,150.0,0.0,100.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,Rua Almirante Tamandare 42,80.0,200.0,80.0,80.0,0.0,Resfriado,Isopor
2022-12-06,Física,Espírito Santo,Cariacica,Rua Parana 120 Valparaiso,70.0,450.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Marataízes,Rua Projetada - Sn,0.0,80.0,10.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,Rua Sao Sebastiao N 115,0.0,500.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,Rua Felicidade Correia Dos Santos N° 1170,100.0,600.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Avenida Governador Jones Dos Santos Neves, Nº 3240",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"R. Professor Sarmento, 90",500.0,1000.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Cariacica,Rua Darcy Veronica 119,0.0,450.0,0.0,0.0,0.0,Congelado,Isopor
2022-12-06,Jurídica,Espírito Santo,Vitória,Rua Oscar Paulo Da Silva 71,1300.0,3000.0,100.0,100.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,Rua Almirante Tamandare 42,200.0,200.0,100.0,90.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Viana,"Rod Governador Mario Covas, Nº S/N",10.0,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Almirante Tamandare, 18",950.0,1070.0,280.0,700.0,150.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,Rua Valdir Meirelles 415,120.0,400.0,80.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Conceição da Barra,Avenida Linha Verde S/N,1622.0,726.0,20.0,182.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Rua Com. Octavio Queiroz ,477",460.0,1545.0,85.0,120.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Serra,Rua Dos Eucalipitos 199,0.0,400.0,0.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Serra,"Rua Alfredo Galeno, Nº 3225",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Avenida Antonio De Queiroz, S/N",182.0,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Cariacica,Av Gerson Camata 41,85.0,600.0,60.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Serra,"Avenida Brauna, Nº 1168",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Cariacica,Rua Uniao Liberdade 26,130.0,750.0,0.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Serra,"Avenida Minas Gerais, Nº 1284",,37.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Cariacica,Rua Darcy Veronica 129,0.0,500.0,0.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Avenida Davino Mattos, Nº 139",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Cariacica,Rua Bela Vista Ii 36,0.0,600.0,0.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Avenida Beira Mar, Nº 1932",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,Rua Santa Rita 710,150.0,450.0,0.0,0.0,0.0,Resfriado,Isopor
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Rua Getulio Vargas, Nº 175",,6.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Rua Joaquim Da Silva Lima, Nº 455",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Guarapari,"Praça Antonio Jorge Assef, Nº 382",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Rua Mario De Vargas Coutinho, Nº 725",0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Conceição da Barra,"Rua Vinte E Sete De Setembro, Nº 25",120.0,1600.0,360.0,0.0,0.0,Congelado,Plástica
2022-12-06,Física,Espírito Santo,Vitória,"Rua Pio Xii, 46",30.0,400.0,0.0,0.0,0.0,In Natura,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"R Mario De Vargas Coutinho, Nº 725",0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Av Alpheu Ribeiro, Nº 550",,19.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,Rua Almirante Barrosos 517,550.0,650.0,0.0,250.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,"Rod Es-010, Km 4,5, Letra",,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,Av Adolpho Cassoli N 182,9718.0,7000.0,1618.0,0.0,0.0,Congelado,Outro
2022-12-06,Jurídica,Espírito Santo,Vitória,Av Adolpho Cassoli N 182,9718.0,0.0,0.0,0.0,0.0,Congelado,Outro
2022-12-06,Jurídica,Espírito Santo,Serra,"Rod Gov. Mário Covas (Br 101), Nº 1990",16.0,,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,Av Henrique Moscoso 345,200.0,1500.0,0.0,200.0,300.0,Congelado,Outro
2022-12-06,Jurídica,Espírito Santo,Cariacica,"Av Mário Gurgel (Br 262), Nº 5471",0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,Rua Almirante Barrosos 517,450.0,450.0,0.0,200.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"Av Victorino Cardoso, 250",100.0,300.0,0.0,100.0,0.0,Congelado,Outro
2022-12-06,Física,Espírito Santo,Cariacica,Rua Lourival De Almeida Flexal 1,0.0,300.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,Av. Abido Saadi 3087,450.0,450.0,0.0,200.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Serra,Rua Caramuru 1741,2000.0,800.0,500.0,800.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vitória,"R Alcino Pereira Netto, 570",4450.0,3250.0,0.0,3600.0,0.0,Congelado,Plástica
2022-12-06,Jurídica,Espírito Santo,Vila Velha,"Rod Do Sol, Nº 5000",5950.0,4250.0,0.0,3400.0,0.0,Congelado,Plástica
2022-12-07,Física,Espírito Santo,Vitória,"Av Nossa Senhora Dos Navegantes, 205",150.0,350.0,100.0,150.0,0.0,Congelado,Outro
2022-12-07,Jurídica,Espírito Santo,Colatina,Rua Antonio Engracio 139,80.0,250.0,60.0,0.0,0.0,Congelado,Plástica
2022-12-07,Jurídica,Espírito Santo,Vitória,"Rua Sao Sebastiao, 115",0.0,1000.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-07,Jurídica,Espírito Santo,Vitória,"Rua Sao Sebastiao, 115",300.0,0.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-07,Jurídica,Espírito Santo,Vitória,"Rua Sao Sebastiao, 115",0.0,0.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-07,Física,Espírito Santo,Guarapari,Rua Jose Barcelos De Mattos,550.0,700.0,100.0,200.0,0.0,In Natura,Isopor
2022-12-07,Física,Espírito Santo,Serra,Rua Romulo Castelo 19,140.0,0.0,0.0,40.0,0.0,Congelado,Plástica
2022-12-07,Física,Espírito Santo,Cariacica,Rua Juscelino Kubitschek Vista Mar Cariacica,50.0,500.0,50.0,0.0,0.0,Resfriado,Isopor
2022-12-07,Física,Espírito Santo,Guarapari,Rua Jose Barcellos De Mattos,50.0,160.0,0.0,0.0,0.0,In Natura,Isopor
2022-12-07,Física,Espírito Santo,Conceição da Barra,"Av. Atlantica, N° 262",100.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-07,Física,Espírito Santo,Guarapari,Rua Jose Barcellos De Mattos,280.0,460.0,60.0,90.0,0.0,In Natura,Isopor
2022-12-07,Física,Espírito Santo,Guarapari,Rua Jose Barcellos De Mattos,360.0,420.0,70.0,0.0,0.0,In Natura,Isopor
2022-12-07,Jurídica,Espírito Santo,Nova Venécia,Avenida São Mateus - Nº 379,0.0,0.0,0.0,0.0,0.0,Congelado,Plástica
